countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,1,Camp Coordination / Management,17000000,636458,4
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,26480,Coordination and support services,6712634,2555083,38
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,2,Early Recovery,,62500,
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,3,Education,61727200,4802917,8
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,4,Emergency Shelter and NFI,60557346,4127545,7
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,6,Food Security,423500000,13076232,3
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,7,Health,69200000,1367442,2
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,8,Logistics,21100000,1000000,5
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,16,Multipurpose Cash,37299511,1998570,5
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,9,Nutrition,40667320,3211883,8
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,10,Protection,70625000,3769263,5
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,11,Water Sanitation Hygiene,71938415,2604781,4
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,,Not specified,,132402840,
HTI,1503,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,2026-01-01,2026-12-31,2026,,Multiple clusters/sectors (shared),,441565,
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,1,Camp Coordination / Management,12300000,3793829,31
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,26480,Coordination and support services,8293000,9377062,113
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,2,Early Recovery,,1203804,
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,3,Education,61626718,18794721,30
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,4,Emergency Shelter and NFI,78000000,13998388,18
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,6,Food Security,425000000,84982142,20
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,7,Health,43500000,16909546,39
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,8,Logistics,19800000,17337143,88
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,16,Multipurpose Cash,26600000,5562935,21
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,9,Nutrition,39900000,7243945,18
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,10,Protection,7200000,6231780,87
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,12,Protection - Child Protection,44540271,5456081,12
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,13,Protection - Gender-Based Violence,19200000,3819750,20
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,26546,Protection - Human Trafficking & Smuggling,35200000,7273783,21
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,11,Water Sanitation Hygiene,87000000,14513798,17
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,,Not specified,,21767361,
HTI,1257,Haiti Besoins Humanitaires et Plan de Réponse 2025,HHTI25,2025-01-01,2025-12-31,2025,,Multiple clusters/sectors (shared),,8047304,
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,1,Camp Coordination / Management,4500002,3845021,85
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,26480,Coordination and support services,4200000,3730310,89
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,3,Education,30440000,9995572,33
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,4,Emergency Shelter and NFI,55705000,12675074,23
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,6,Food Security,340000000,136285788,40
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,7,Health,37300000,25772596,69
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,8,Logistics,17184000,11810705,69
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,16,Multipurpose Cash,,8987769,
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,9,Nutrition,32499165,18582421,57
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,10,Protection,1800000,6190921,344
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,12,Protection - Child Protection,30411351,9796904,32
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,13,Protection - Gender-Based Violence,15877834,4219917,27
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,26546,Protection - Human Trafficking & Smuggling,19550000,1895621,10
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,11,Water Sanitation Hygiene,84300000,31404952,37
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,,Not specified,,10210314,
HTI,1178,Haïti Besoins Humanitaires et Plan de Réponse 2024,HHTI24,2024-01-01,2024-12-31,2024,,Multiple clusters/sectors (shared),,2518473,
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,1,Camp Coordination / Management,3327600,2707191,81
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,26480,Coordination and support services,4100000,4861083,119
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,3,Education,50000000,10625390,21
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,4,Emergency Shelter and NFI,57772400,10857596,19
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,6,Food Security,420000000,118673028,28
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,7,Health,30671803,20488569,67
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,8,Logistics,15750000,12369611,79
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,9,Nutrition,31665660,12482120,39
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,10,Protection,1750000,18026453,1030
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,12,Protection - Child Protection,20100000,3309045,16
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,13,Protection - Gender-Based Violence,12084610,5001271,41
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,26546,Protection - Human Trafficking & Smuggling,8200000,1508345,18
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,11,Water Sanitation Hygiene,64435640,23349437,36
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,,Not specified,,2728117,
HTI,1121,Haïti Plan de Réponse Humanitaire 2023,HHTI23,2023-01-01,2023-12-31,2023,,Multiple clusters/sectors (shared),,984543,
HTI,1096,Haïti Plan de Réponse Humanitaire 2022,HHTI22,2022-01-01,2022-12-31,2022,26512,Agriculture,,0,
HTI,1096,Haïti Plan de Réponse Humanitaire 2022,HHTI22,2022-01-01,2022-12-31,2022,26480,Coordination and support services,1900000,7560489,398
HTI,1096,Haïti Plan de Réponse Humanitaire 2022,HHTI22,2022-01-01,2022-12-31,2022,3,Education,26600000,5868315,22
HTI,1096,Haïti Plan de Réponse Humanitaire 2022,HHTI22,2022-01-01,2022-12-31,2022,4,Emergency Shelter and NFI,54310800,3920526,7
