location_code,has_hrp,in_gho,provider_admin1_name,admin1_code,admin1_name,admin_level,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end,dataset_hdx_id,resource_hdx_id
AFG,Y,Y,,,,0,0.2342,46.9358,49.9063,27.3813,20.8027,2015-01-01 00:00:00+00:00,2016-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,,,,0,0.2683,52.1779,51.4260,26.3367,25.9715,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Badakhshan,AF17,Badakhshan,1,0.2993,60.4351,49.5235,24.7380,28.8921,2015-01-01 00:00:00+00:00,2016-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Badakhshan,AF17,Badakhshan,1,0.3050,64.2694,47.4510,26.7436,22.8206,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Badghis,AF31,Badghis,1,0.4161,77.9107,53.4021,17.2367,47.3259,2015-01-01 00:00:00+00:00,2016-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Badghis,AF31,Badghis,1,0.4437,81.2721,54.5967,13.9680,56.3865,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Baghlan,AF09,Baghlan,1,0.2283,45.8220,49.8125,30.2366,18.4283,2015-01-01 00:00:00+00:00,2016-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Baghlan,AF09,Baghlan,1,0.3332,68.5503,48.6077,21.0723,30.0120,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Balkh,AF21,Balkh,1,0.1997,39.4961,50.5604,25.2644,18.0604,2015-01-01 00:00:00+00:00,2016-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Balkh,AF21,Balkh,1,0.1755,36.3407,48.2959,21.4309,13.3836,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
AFG,Y,Y,Bamyan,AF10,Bamyan,1,0.2243,47.8084,46.9228,36.3083,16.2316,2015-01-01 00:00:00+00:00,2016-12-31 00:00:00+00:00,42b16840-3a56-4a20-9314-7aa171f1136c,7c131db3-a172-4280-b37a-85f678192fbe
