adm0_iso3,adm0_name,admin_level,adm1_pcode,adm1_name,adm2_pcode,adm2_name,period_number,start_date,end_date,cropland_flooded_sq_km,cropland_flooded_ha,total_area_flooded_sq_km,total_area_flooded_ha,perc_cropland_flooded,perc_total_area_flooded,pop_exposed
HTI,Haiti,admin2,HT08,Grande'Anse,HT0811,Jeremie,55,2026-04-01,2026-04-15,0,0,2.7899999999999996,279,0,0.6296505817619134,3031
HTI,Haiti,admin2,HT08,Grande'Anse,HT0812,Abricots,55,2026-04-01,2026-04-15,0,0,1.82,182,0,1.6802688430148822,809
HTI,Haiti,admin2,HT01,West,HT0111,Port-au-Prince,55,2026-04-01,2026-04-15,0,0,0.2,20,0,0.646399302395733,10339
HTI,Haiti,admin2,HT01,West,HT0113,Carrefour,55,2026-04-01,2026-04-15,0,0,0.43,43,0,0.5843745753091754,8930
HTI,Haiti,admin2,HT01,West,HT0116,Gressier,55,2026-04-01,2026-04-15,0.02,2,0.48000000000000004,48,43.96551724137931,0.5150381460646497,475
HTI,Haiti,admin2,HT01,West,HT0117,Cite Soleil,55,2026-04-01,2026-04-15,0,0,0.8599999999999999,86,0,3.8666473892636595,5757
HTI,Haiti,admin2,HT01,West,HT0121,Leogane,55,2026-04-01,2026-04-15,0,0,2.58,258,0,0.6443320424493272,1932
HTI,Haiti,admin2,HT01,West,HT0122,Petit-Goave,55,2026-04-01,2026-04-15,0.03,3,7.0200000000000005,702,1.4492753623188406,1.7483268762796735,12197
HTI,Haiti,admin2,HT01,West,HT0123,Grand-Goave,55,2026-04-01,2026-04-15,0,0,2.71,271,0,1.0495840166147308,4489
HTI,Haiti,admin2,HT01,West,HT0131,Croix-Des-Bouquets,55,2026-04-01,2026-04-15,0.03,3,3.69,369,0.1077877722169619,0.6932235747144277,581
HTI,Haiti,admin2,HT01,West,HT0132,Thomazeau,55,2026-04-01,2026-04-15,0.29,29,4.17,417,2.671671610192454,1.3453347117104644,694
HTI,Haiti,admin2,HT01,West,HT0133,Ganthier,55,2026-04-01,2026-04-15,0,0,10.01,1001,0,1.9590076939719216,1548
HTI,Haiti,admin2,HT01,West,HT0141,Arcahaie,55,2026-04-01,2026-04-15,0.01,1,1.4100000000000001,141,0.2731830647925951,0.32896693129801713,1541
HTI,Haiti,admin2,HT01,West,HT0142,Cabaret,55,2026-04-01,2026-04-15,0.1,10,0.29000000000000004,29,1.447210855784019,0.14315113294588,514
HTI,Haiti,admin2,HT01,West,HT0151,Anse a Galets,55,2026-04-01,2026-04-15,0.01,1,14.16,1416,0.369442070034626,3.5476458724720152,2182
HTI,Haiti,admin2,HT01,West,HT0152,Pointe a Raquette,55,2026-04-01,2026-04-15,0,0,5.68,568,0,1.709840614381006,569
HTI,Haiti,admin2,HT02,South-East,HT0211,Jacmel,55,2026-04-01,2026-04-15,0,0,1.8199999999999998,182,0,0.3953042522506195,3895
HTI,Haiti,admin2,HT02,South-East,HT0212,Marigot,55,2026-04-01,2026-04-15,0,0,0.6600000000000001,66,0,0.33640986114648036,451
HTI,Haiti,admin2,HT02,South-East,HT0213,Cayes-Jacmel,55,2026-04-01,2026-04-15,0,0,0.76,76,0,0.9015794387784295,1405
HTI,Haiti,admin2,HT02,South-East,HT0221,Bainet,55,2026-04-01,2026-04-15,0.01,1,3.3099999999999996,331,7.6923076923076925,1.0427551219840043,957
HTI,Haiti,admin2,HT02,South-East,HT0222,Cotes de Fer,55,2026-04-01,2026-04-15,0,0,0.27999999999999997,28,0,0.15233858937026562,85
HTI,Haiti,admin2,HT02,South-East,HT0233,Thiotte,55,2026-04-01,2026-04-15,0,0,0.13,13,0,0.10692103228628122,15
HTI,Haiti,admin2,HT02,South-East,HT0234,Anse-a-Pitre,55,2026-04-01,2026-04-15,0,0,0.01,1,0,0.0149220367468321,20
HTI,Haiti,admin2,HT03,North,HT0311,Cap-Haitien,55,2026-04-01,2026-04-15,0,0,4.199999999999999,420,0,7.387980011754541,21665
HTI,Haiti,admin2,HT03,North,HT0312,Quartier Morin,55,2026-04-01,2026-04-15,0.01,1,1.6800000000000002,168,0.1705172356146979,2.640150126183645,671
HTI,Haiti,admin2,HT03,North,HT0313,Limonade,55,2026-04-01,2026-04-15,0,0,23.53,2353,0,17.540656764238996,3470
HTI,Haiti,admin2,HT03,North,HT0321,Acul du Nord,55,2026-04-01,2026-04-15,0,0,5.08,508,0,2.5686174199612157,1857
HTI,Haiti,admin2,HT03,North,HT0322,Plaine du Nord,55,2026-04-01,2026-04-15,0,0,4.28,428,0,4.204489025913814,1464
HTI,Haiti,admin2,HT03,North,HT0351,Borgne,55,2026-04-01,2026-04-15,0,0,1.7600000000000002,176,0,0.9046606957985698,1092
HTI,Haiti,admin2,HT03,North,HT0352,Port-Margot,55,2026-04-01,2026-04-15,0.01,1,0.98,98,1.3619612241627943,0.7448091363254058,268
HTI,Haiti,admin2,HT03,North,HT0361,Limbe,55,2026-04-01,2026-04-15,0,0,0.12,12,0,0.12538840698126588,3459
HTI,Haiti,admin2,HT03,North,HT0362,Bas Limbe,55,2026-04-01,2026-04-15,0.26,26,3.9300000000000006,393,12.296222110944194,7.091312814532609,1710
HTI,Haiti,admin2,HT04,North-East,HT0411,Fort-Liberte,55,2026-04-01,2026-04-15,0.26,26,4.449999999999999,445,9.961236816010096,1.805889515369117,2623
HTI,Haiti,admin2,HT04,North-East,HT0412,Ferrier,55,2026-04-01,2026-04-15,0.2,20,4.58,458,3.287416928263405,6.402465598876403,625
HTI,Haiti,admin2,HT04,North-East,HT0433,Terrier Rouge,55,2026-04-01,2026-04-15,0,0,5.67,567,0,3.1838606002618266,378
HTI,Haiti,admin2,HT04,North-East,HT0434,Caracol,55,2026-04-01,2026-04-15,0,0,25.53,2553,0,32.410138613624795,1006
HTI,Haiti,admin2,HT05,Artibonite,HT0511,Gonaives,55,2026-04-01,2026-04-15,0,0,2.71,271,0,0.46477889962309143,3058
HTI,Haiti,admin2,HT05,Artibonite,HT0513,L'Estere,55,2026-04-01,2026-04-15,0.42,42,18.63,1863,2.5824528238193296,12.29784462517933,2579
HTI,Haiti,admin2,HT05,Artibonite,HT0523,Anse Rouge,55,2026-04-01,2026-04-15,0,0,1.88,188,0,0.41095059026357433,1497
HTI,Haiti,admin2,HT05,Artibonite,HT0531,Saint-Marc,55,2026-04-01,2026-04-15,0.51,51,11.239999999999998,1124,1.2110720199060945,1.898514208287716,7430
HTI,Haiti,admin2,HT05,Artibonite,HT0541,Dessalines,55,2026-04-01,2026-04-15,0.7,70,0.8699999999999999,87,0.5987300884510498,0.22774675054098148,368
HTI,Haiti,admin2,HT05,Artibonite,HT0543,Grande Saline,55,2026-04-01,2026-04-15,0.16,16,4.46,446,0.797900426720277,8.848889628911506,1718
HTI,Haiti,admin2,HT05,Artibonite,HT0544,Desdunes,55,2026-04-01,2026-04-15,1.67,167,31.96,3196,6.840150729069956,30.022268597225725,6360
HTI,Haiti,admin2,HT06,Centre,HT0613,Thomonde,55,2026-04-01,2026-04-15,0.71,71,7.03,703,4.477833426080504,1.8307951665332698,1018
HTI,Haiti,admin2,HT06,Centre,HT0623,Boucan Carre,55,2026-04-01,2026-04-15,0,0,0.44000000000000006,44,0,0.11816601292706685,241
HTI,Haiti,admin2,HT06,Centre,HT0631,Lascahobas,55,2026-04-01,2026-04-15,0,0,0.64,64,0,0.41472307578149376,140
HTI,Haiti,admin2,HT06,Centre,HT0632,Belladere,55,2026-04-01,2026-04-15,0.2,20,1.77,177,1.9801442010894663,0.5578898993437326,257
HTI,Haiti,admin2,HT07,South,HT0711,Les Cayes,55,2026-04-01,2026-04-15,0.17,17,3.8100000000000005,381,0.8952838059991246,1.6522357859764976,3668
HTI,Haiti,admin2,HT07,South,HT0712,Torbeck,55,2026-04-01,2026-04-15,0.01,1,2.09,209,0.0693543517815909,1.056276057584139,1232
HTI,Haiti,admin2,HT07,South,HT0713,Chantal,55,2026-04-01,2026-04-15,0,0,0.05,5,0,0.0316376621678324,4
HTI,Haiti,admin2,HT07,South,HT0714,Camp-Perrin,55,2026-04-01,2026-04-15,0,0,0.4,40,0,0.31317182264158566,38
HTI,Haiti,admin2,HT07,South,HT0716,Ile a Vache,55,2026-04-01,2026-04-15,0,0,11.57,1157,0,24.021680455103926,2861
HTI,Haiti,admin2,HT07,South,HT0722,Saint Jean du Sud,55,2026-04-01,2026-04-15,0,0,3.1799999999999997,318,0,4.362266635680531,876
HTI,Haiti,admin2,HT07,South,HT0723,Arniquet,55,2026-04-01,2026-04-15,0,0,0.12,12,0,0.2278693102485337,104
HTI,Haiti,admin2,HT07,South,HT0731,Aquin,55,2026-04-01,2026-04-15,1.09,109,13.77,1377,28.632795599233575,2.041251018561789,1687
HTI,Haiti,admin2,HT07,South,HT0732,Saint Louis du Sud,55,2026-04-01,2026-04-15,0.11,11,4.7,470,36.66666666666666,2.4298077502048208,2190
HTI,Haiti,admin2,HT07,South,HT0733,Cavaillon,55,2026-04-01,2026-04-15,0.04,4,4.45,445,0.640048191863858,1.8457672194344372,1057
HTI,Haiti,admin2,HT07,South,HT0742,Port-a-Piment,55,2026-04-01,2026-04-15,0,0,0.07,7,0,0.24999124680508372,197
HTI,Haiti,admin2,HT07,South,HT0751,Chardonnieres,55,2026-04-01,2026-04-15,0,0,0.34,34,0,0.28263459779988365,156
HTI,Haiti,admin2,HT07,South,HT0753,Tiburon,55,2026-04-01,2026-04-15,0,0,1.93,193,0,1.24000081633702,344
HTI,Haiti,admin2,HT08,Grande'Anse,HT0813,Bonbon,55,2026-04-01,2026-04-15,0,0,0.27,27,0,0.737629835171605,195
HTI,Haiti,admin2,HT08,Grande'Anse,HT0821,Anse d'Hainault,55,2026-04-01,2026-04-15,0,0,0.4,40,0,0.39053765548758973,212
HTI,Haiti,admin2,HT08,Grande'Anse,HT0822,Dame Marie,55,2026-04-01,2026-04-15,0,0,0.84,84,0,0.796782219927515,250
HTI,Haiti,admin2,HT08,Grande'Anse,HT0831,Corail,55,2026-04-01,2026-04-15,0,0,4.109999999999999,411,0,3.5947854773479273,1116
HTI,Haiti,admin2,HT08,Grande'Anse,HT0832,Roseaux,55,2026-04-01,2026-04-15,0,0,1.83,183,0,0.8118436444638057,419
HTI,Haiti,admin2,HT08,Grande'Anse,HT0833,Beaumont,55,2026-04-01,2026-04-15,0,0,0.21000000000000002,21,0,0.118475259909941,2
HTI,Haiti,admin2,HT08,Grande'Anse,HT0834,Pestel,55,2026-04-01,2026-04-15,0,0,4.67,467,0,1.5139008477259956,698
HTI,Haiti,admin2,HT09,North-West,HT0911,Port-de-Paix,55,2026-04-01,2026-04-15,0,0,4.51,451,0,1.1929631511778538,10367
HTI,Haiti,admin2,HT09,North-West,HT0912,La Tortue,55,2026-04-01,2026-04-15,0.04,4,8.459999999999999,846,3.076923076923077,4.428920173297183,1903
HTI,Haiti,admin2,HT09,North-West,HT0921,Saint-Louis du Nord,55,2026-04-01,2026-04-15,0,0,2.04,204,0,1.6823926067868145,8253
HTI,Haiti,admin2,HT09,North-West,HT0922,Anse-a-Foleur,55,2026-04-01,2026-04-15,0,0,1.25,125,0,1.6671400036716306,983
HTI,Haiti,admin2,HT09,North-West,HT0931,Mole Saint Nicolas,55,2026-04-01,2026-04-15,0,0,2.8200000000000003,282,0,1.1471378583409972,332
HTI,Haiti,admin2,HT09,North-West,HT0932,Baie de Henne,55,2026-04-01,2026-04-15,0,0,2.04,204,0,0.9357040714459167,127
HTI,Haiti,admin2,HT09,North-West,HT0933,Bombardopolis,55,2026-04-01,2026-04-15,0,0,0.7700000000000002,77,0,0.3864520747270579,187
HTI,Haiti,admin2,HT09,North-West,HT0934,Jean Rabel,55,2026-04-01,2026-04-15,0,0,1.93,193,0,0.6375529367140458,284
HTI,Haiti,admin2,HT10,Nippes,HT1011,Miragoane,55,2026-04-01,2026-04-15,0.06,6,6.420000000000001,642,5.03653960102706,3.577531763132473,2554
HTI,Haiti,admin2,HT10,Nippes,HT1012,Petite Riviere de Nippes,55,2026-04-01,2026-04-15,0.01,1,4.25,425,33.33333333333333,4.474938486370381,1194
HTI,Haiti,admin2,HT10,Nippes,HT1014,Paillant,55,2026-04-01,2026-04-15,0,0,1.28,128,0,1.8431535091632498,190
HTI,Haiti,admin2,HT10,Nippes,HT1021,Anse-a-Veau,55,2026-04-01,2026-04-15,0,0,1.47,147,0,1.303443894538053,717
HTI,Haiti,admin2,HT10,Nippes,HT1022,Petit Trou de Nippes,55,2026-04-01,2026-04-15,0,0,3.46,346,0,2.115665492256108,1757
HTI,Haiti,admin2,HT10,Nippes,HT1031,Baraderes,55,2026-04-01,2026-04-15,0,0,5.25,525,0,3.1417884737960144,662
HTI,Haiti,admin2,HT10,Nippes,HT1032,Grand-Boucan,55,2026-04-01,2026-04-15,0,0,6.199999999999999,620,0,13.075960495877473,807
HTI,Haiti,admin2,HT08,Grande'Anse,HT0823,Les Irois,54,2026-03-16,2026-03-31,0,0,0.31,31,0,0.23234733413398387,116
HTI,Haiti,admin2,HT08,Grande'Anse,HT0831,Corail,54,2026-03-16,2026-03-31,0,0,4.2700000000000005,427,0,3.7602501653322093,1264
HTI,Haiti,admin2,HT08,Grande'Anse,HT0832,Roseaux,54,2026-03-16,2026-03-31,0,0,1.5300000000000002,153,0,0.6787545224205588,344
HTI,Haiti,admin2,HT08,Grande'Anse,HT0834,Pestel,54,2026-03-16,2026-03-31,0,0,3.46,346,0,1.1216481655528794,629
HTI,Haiti,admin2,HT09,North-West,HT0911,Port-de-Paix,54,2026-03-16,2026-03-31,0.01,1,4.42,442,0.2915551896823763,1.158644918970412,9245
HTI,Haiti,admin2,HT09,North-West,HT0912,La Tortue,54,2026-03-16,2026-03-31,0.13,13,5.9,590,10,3.088726834805365,1276
HTI,Haiti,admin2,HT09,North-West,HT0921,Saint-Louis du Nord,54,2026-03-16,2026-03-31,0.01,1,1.73,173,58.08656036446469,1.4265323703040684,7367
HTI,Haiti,admin2,HT09,North-West,HT0922,Anse-a-Foleur,54,2026-03-16,2026-03-31,0,0,0.68,68,0,0.9069241619973671,431
HTI,Haiti,admin2,HT09,North-West,HT0931,Mole Saint Nicolas,54,2026-03-16,2026-03-31,0,0,2.52,252,0,1.0251019159642953,359
HTI,Haiti,admin2,HT09,North-West,HT0932,Baie de Henne,54,2026-03-16,2026-03-31,0,0,1.05,105,0,0.4828549087273478,35
HTI,Haiti,admin2,HT09,North-West,HT0933,Bombardopolis,54,2026-03-16,2026-03-31,0,0,0.5000000000000001,50,0,0.2509429056669207,85
HTI,Haiti,admin2,HT09,North-West,HT0934,Jean Rabel,54,2026-03-16,2026-03-31,0,0,1.82,182,0,0.36117009773071307,260
HTI,Haiti,admin2,HT10,Nippes,HT1011,Miragoane,54,2026-03-16,2026-03-31,0,0,5.1,510,0,2.8609568377198373,1883
HTI,Haiti,admin2,HT10,Nippes,HT1012,Petite Riviere de Nippes,54,2026-03-16,2026-03-31,0.01,1,4.24,424,33.33333333333333,4.464409219343628,1301
HTI,Haiti,admin2,HT10,Nippes,HT1021,Anse-a-Veau,54,2026-03-16,2026-03-31,0,0,2.09,209,0,1.8531957412139664,893
HTI,Haiti,admin2,HT10,Nippes,HT1022,Petit Trou de Nippes,54,2026-03-16,2026-03-31,0,0,3.17,317,0,1.93834092787626,2034
HTI,Haiti,admin2,HT10,Nippes,HT1031,Baraderes,54,2026-03-16,2026-03-31,0,0,4.54,454,0,2.7168989849588394,579
HTI,Haiti,admin2,HT10,Nippes,HT1032,Grand-Boucan,54,2026-03-16,2026-03-31,0,0,5.16,516,0,10.88257357398835,646
HTI,Haiti,admin2,HT01,West,HT0111,Port-au-Prince,54,2026-03-16,2026-03-31,0,0,0.09,9,0,0.4355723078499808,4177
HTI,Haiti,admin2,HT01,West,HT0113,Carrefour,54,2026-03-16,2026-03-31,0,0,0.37,37,0,0.21425067897141412,7885
HTI,Haiti,admin2,HT01,West,HT0116,Gressier,54,2026-03-16,2026-03-31,0,0,0.22999999999999998,23,0,0.24690963023335757,845
HTI,Haiti,admin2,HT01,West,HT0117,Cite Soleil,54,2026-03-16,2026-03-31,0,0,0.49000000000000005,49,0,2.589079245095357,2741
HTI,Haiti,admin2,HT01,West,HT0121,Leogane,54,2026-03-16,2026-03-31,0,0,2.4699999999999998,247,0,0.6167970931949704,1804
HTI,Haiti,admin2,HT01,West,HT0122,Petit-Goave,54,2026-03-16,2026-03-31,0.04,4,4.56,456,1.932367149758454,1.1356653213440613,3652
HTI,Haiti,admin2,HT01,West,HT0123,Grand-Goave,54,2026-03-16,2026-03-31,0.01,1,2.3499999999999996,235,3.0335474660956456,0.9089953451247132,3859
HTI,Haiti,admin2,HT01,West,HT0131,Croix-Des-Bouquets,54,2026-03-16,2026-03-31,0.01,1,3.4899999999999998,349,0.0359292574056539,0.6556504812339706,368
HTI,Haiti,admin2,HT01,West,HT0132,Thomazeau,54,2026-03-16,2026-03-31,0.22,22,4.28,428,2.026785359456344,1.380823157343115,639
HTI,Haiti,admin2,HT01,West,HT0133,Ganthier,54,2026-03-16,2026-03-31,0,0,9.629999999999999,963,0,1.8846397695254349,1316
HTI,Haiti,admin2,HT01,West,HT0141,Arcahaie,54,2026-03-16,2026-03-31,0,0,0.36000000000000004,36,0,0.08334117872207102,83
HTI,Haiti,admin2,HT01,West,HT0142,Cabaret,54,2026-03-16,2026-03-31,0.01,1,0.24000000000000005,24,0.1447210855784019,0.11846990312762494,430
HTI,Haiti,admin2,HT01,West,HT0151,Anse a Galets,54,2026-03-16,2026-03-31,0,0,13.149999999999999,1315,0,3.3170956476974864,4084
HTI,Haiti,admin2,HT01,West,HT0152,Pointe a Raquette,54,2026-03-16,2026-03-31,0,0,5.17,517,0,1.5563161930193314,527
HTI,Haiti,admin2,HT02,South-East,HT0211,Jacmel,54,2026-03-16,2026-03-31,0,0,0.44,44,0,0.09698227800134218,519
HTI,Haiti,admin2,HT02,South-East,HT0212,Marigot,54,2026-03-16,2026-03-31,0,0,0.43,43,0,0.21917612165604014,630
HTI,Haiti,admin2,HT02,South-East,HT0213,Cayes-Jacmel,54,2026-03-16,2026-03-31,0,0,0.32999999999999996,33,0,0.39147528262747583,552
HTI,Haiti,admin2,HT02,South-East,HT0221,Bainet,54,2026-03-16,2026-03-31,0.06,6,2.06,206,46.15384615384615,0.6497092510904249,404
HTI,Haiti,admin2,HT02,South-East,HT0222,Cotes de Fer,54,2026-03-16,2026-03-31,0,0,0.04,4,0,0.021762655624323536,12
HTI,Haiti,admin2,HT02,South-East,HT0233,Thiotte,54,2026-03-16,2026-03-31,0,0,0.24,24,0,0.18938526533123223,23
HTI,Haiti,admin2,HT02,South-East,HT0234,Anse-a-Pitre,54,2026-03-16,2026-03-31,0,0,0.45,45,0,0.23734506124743582,89
HTI,Haiti,admin2,HT03,North,HT0311,Cap-Haitien,54,2026-03-16,2026-03-31,0,0,4,400,0,6.936086007466494,25663
HTI,Haiti,admin2,HT03,North,HT0312,Quartier Morin,54,2026-03-16,2026-03-31,0.01,1,1.4700000000000002,147,0.1705172356146979,2.3101313604106886,647
HTI,Haiti,admin2,HT03,North,HT0313,Limonade,54,2026-03-16,2026-03-31,0,0,22.900000000000002,2290,0,17.071017420360093,3481
HTI,Haiti,admin2,HT03,North,HT0321,Acul du Nord,54,2026-03-16,2026-03-31,0,0,4.17,417,0,2.108491071109895,1426
HTI,Haiti,admin2,HT03,North,HT0322,Plaine du Nord,54,2026-03-16,2026-03-31,0,0,2.9000000000000004,290,0,2.8488360222313225,487
HTI,Haiti,admin2,HT03,North,HT0323,Milot,54,2026-03-16,2026-03-31,0,0,0.22,22,0,0.5329163729768652,192
HTI,Haiti,admin2,HT03,North,HT0351,Borgne,54,2026-03-16,2026-03-31,0,0,1.5500000000000003,155,0,0.7967182264135132,1199
HTI,Haiti,admin2,HT03,North,HT0352,Port-Margot,54,2026-03-16,2026-03-31,0.04,4,0.47,47,5.447844896651178,0.3582294587462238,131
HTI,Haiti,admin2,HT03,North,HT0362,Bas Limbe,54,2026-03-16,2026-03-31,0.07,7,2.79,279,3.310521337561899,5.034290776729256,1232
