countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
HTI,Haiti,,national,,2026-04-15,SURVEY,8952844,0.7531337234812897,7146355,0.6011677351318903,,,9184893,0.7726542163436819
HTI,Haiti,,national,,2026-04-14,SURVEY,8982400,0.7556200418323314,7174618,0.6035452833642455,,,9194258,0.7734420215729926
HTI,Haiti,,national,,2026-04-13,SURVEY,8948876,0.7527999262415778,7167331,0.6029322842498849,,,9225408,0.7760624308514791
HTI,Haiti,,national,,2026-04-12,SURVEY,8859245,0.7452600112012268,7199825,0.6056657538837578,,,9252135,0.778310767249107
HTI,Haiti,,national,,2026-04-11,SURVEY,8847893,0.7443050052088521,7249514,0.6098457062638128,,,,
HTI,Haiti,,national,,2026-04-10,SURVEY,8870984,0.7462474729664614,7228867,0.6081088333786472,,,,
HTI,Haiti,,national,,2026-04-09,SURVEY,8904079,0.7490315000955629,7244912,0.6094585754933604,,,,
HTI,Haiti,,national,,2026-04-08,SURVEY,8871654,0.7463038348995782,7311450,0.6150559043078687,,,9222807,0.7758436287797826
HTI,Haiti,,national,,2026-04-07,SURVEY,8831051,0.7428882176304165,7248742,0.6097807638572963,,,9221274,0.77571466931192
HTI,Haiti,,national,,2026-04-06,SURVEY,8861441,0.7454446939698451,7164709,0.6027117156101356,,,9179490,0.7721997036203541
HTI,Haiti,,national,,2026-04-05,SURVEY,8704659,0.7322558333759553,7130279,0.5998153852262419,,,9133919,0.7683661668232463
HTI,Haiti,,national,,2026-04-04,SURVEY,8675540,0.7298062764648717,7009218,0.5896314568903556,,,9210284,0.7747901653642293
HTI,Haiti,,national,,2026-04-03,SURVEY,8684215,0.7305360373153011,6955482,0.585111061609818,,,9163046,0.7708163967126356
HTI,Haiti,,national,,2026-04-02,SURVEY,8697159,0.7316249162142009,6892299,0.5797959630723344,,,9109457,0.7663083674084682
HTI,Haiti,,national,,2026-04-01,SURVEY,8682056,0.730354417295004,6952731,0.5848796411948864,,,,
HTI,Haiti,,national,,2026-03-31,SURVEY,8529546,0.7175249271164493,7147147,0.6012343599841715,,,,
HTI,Haiti,,national,,2026-03-30,SURVEY,8429040,0.7090701068145097,7067899,0.5945678368862102,,,,
HTI,Haiti,,national,,2026-03-29,SURVEY,8438489,0.7098650039167338,7054981,0.5934811451668044,,,,
